21-03-05 14:31:07.223 - INFO: training.....................
21-03-05 14:31:23.598 - INFO: [0.135837][epoch: 1/ 2][iter:  33/  41],loss_d:0.522457,loss_g:0.040398, d1:0.462024, d2:0.000000, d3:0.051510 flag:0
21-03-05 14:31:23.735 - INFO: [0.133397][epoch: 1/ 2][iter:  34/  41],loss_d:0.485110,loss_g:0.060088, d1:0.431271, d2:0.000000, d3:0.044916 flag:0
21-03-05 14:31:23.873 - INFO: [0.135867][epoch: 1/ 2][iter:  35/  41],loss_d:0.486331,loss_g:0.136234, d1:0.435712, d2:0.000000, d3:0.041694 flag:0
21-03-05 14:31:24.012 - INFO: [0.134506][epoch: 1/ 2][iter:  36/  41],loss_d:0.434232,loss_g:0.331728, d1:0.399495, d2:0.000000, d3:0.025810 flag:0
21-03-05 14:31:24.150 - INFO: [0.134347][epoch: 1/ 2][iter:  37/  41],loss_d:0.460795,loss_g:0.525310, d1:0.421300, d2:0.000000, d3:0.030567 flag:0
21-03-05 14:31:24.288 - INFO: [0.134980][epoch: 1/ 2][iter:  38/  41],loss_d:0.457241,loss_g:0.644282, d1:0.423898, d2:0.000000, d3:0.024412 flag:0
21-03-05 14:31:24.428 - INFO: [0.135180][epoch: 1/ 2][iter:  39/  41],loss_d:0.446638,loss_g:0.620072, d1:0.401736, d2:0.000000, d3:0.035970 flag:0
21-03-05 14:31:24.577 - INFO: [0.140036][epoch: 1/ 2][iter:  40/  41],loss_d:0.645119,loss_g:0.508212, d1:0.600993, d2:0.000000, d3:0.035191 flag:0
21-03-05 14:31:26.299 - INFO: Test Acc:0.6792828685258964, Test Se:0.7027027027027027, Test Sp:0.6752336448598131, Test Mcc:0.27596850945447315.
Threshold:0.696203

.497791, d2:0.000000, d3:0.054379 flag:0
21-03-05 14:31:23.321 - INFO: [0.134392][epoch: 1/ 2][iter:  31/  41],loss_d:0.581718,loss_g:0.028469, d1:0.514824, d2:0.000000, d3:0.057974 flag:0
21-03-05 14:31:23.458 - INFO: [0.133966][epoch: 1/ 2][iter:  32/  41],loss_d:0.605112,loss_g:0.033433, d1:0.544225, d2:0.000000, d3:0.051967 flag:0
21-03-05 14:31:23.598 - INFO: [0.135837][epoch: 1/ 2][iter:  33/  41],loss_d:0.522457,loss_g:0.040398, d1:0.462024, d2:0.000000, d3:0.051510 flag:0
21-03-05 14:31:23.735 - INFO: [0.133397][epoch: 1/ 2][iter:  34/  41],loss_d:0.485110,loss_g:0.060088, d1:0.431271, d2:0.000000, d3:0.044916 flag:0
21-03-05 14:31:23.873 - INFO: [0.135867][epoch: 1/ 2][iter:  35/  41],loss_d:0.486331,loss_g:0.136234, d1:0.435712, d2:0.000000, d3:0.041694 flag:0
21-03-05 14:31:24.012 - INFO: [0.134506][epoch: 1/ 2][iter:  36/  41],loss_d:0.434232,loss_g:0.331728, d1:0.399495, d2:0.000000, d3:0.025810 flag:0
21-03-05 14:31:24.150 - INFO: [0.134347][epoch: 1/ 2][iter:  37/  41],loss_d:0.460795,loss_g:0.525310, d1:0.421300, d2:0.000000, d3:0.030567 flag:0
21-03-05 14:31:24.288 - INFO: [0.134980][epoch: 1/ 2][iter:  38/  41],loss_d:0.457241,loss_g:0.644282, d1:0.423898, d2:0.000000, d3:0.024412 flag:0
21-03-05 14:31:24.428 - INFO: [0.135180][epoch: 1/ 2][iter:  39/  41],loss_d:0.446638,loss_g:0.620072, d1:0.401736, d2:0.000000, d3:0.035970 flag:0
21-03-05 14:31:24.577 - INFO: [0.140036][epoch: 1/ 2][iter:  40/  41],loss_d:0.645119,loss_g:0.508212, d1:0.600993, d2:0.000000, d3:0.035191 flag:0
21-03-05 14:31:26.299 - INFO: Test Acc:0.6792828685258964, Test Se:0.7027027027027027, Test Sp:0.6752336448598131, Test Mcc:0.27596850945447315.
Threshold:0.696203

